,loss_name,dim,use_delays,max_L,max_learning_rate,min_learning_rate,step_size,delay_type
0,Ackley,2,False,0,1.575,0.5192,100,undelayed
1,Ackley,10,False,0,2.996,0.7487,550,undelayed
2,Ackley,100,False,0,3.9956,0.7477,800,undelayed
3,Ackley,1000,False,0,1.7406,0.0702,200,undelayed
4,Ackley,2,True,1,1.8457,0.5192,100,stochastic
5,Ackley,10,True,1,2.1543,0.1309,810,stochastic
6,Ackley,100,True,1,2.2202,0.9096,600,stochastic
7,Ackley,1000,True,1,2.9789,0.229,740,stochastic
8,Rastrigin,2,False,0,3.557,0.5271,1800,undelayed
9,Rastrigin,10,False,0,2.9283,0.3478,1000,undelayed
10,Rastrigin,100,False,0,2.3532,0.608,400,undelayed
11,Rastrigin,1000,False,0,1.9099,0.8184,1200,undelayed
12,Rastrigin,2,True,1,3.0705,0.2651,1000,stochastic
13,Rastrigin,10,True,1,1.5716,0.6253,2200,stochastic
14,Rastrigin,100,True,1,1.2499,0.692,1770,stochastic
15,Rastrigin,1000,True,1,1.5646,0.5436,2230,stochastic
16,Rosenbrock,2,False,0,3.1561,0.7792,2300,undelayed
17,Rosenbrock,10,False,0,3.1838,0.6166,1300,undelayed
18,Rosenbrock,100,False,0,3.7281,0.3693,400,undelayed
19,Rosenbrock,1000,False,0,2.7389,0.4849,1400,undelayed
20,Rosenbrock,2,True,1,2.048,0.8246,300,stochastic
21,Rosenbrock,10,True,1,2.8954,0.6782,800,stochastic
22,Rosenbrock,100,True,1,1.9611,0.7111,800,stochastic
23,Rosenbrock,1000,True,1,3.603,0.6938,1300,stochastic
24,Zakharov,2,False,0,2.7929,0.7089,950,undelayed
25,Zakharov,10,False,0,3.2873,0.7995,1475,undelayed
26,Zakharov,100,False,0,2.6537,0.5053,100,undelayed
27,Zakharov,1000,False,0,2.0691,0.0211,700,undelayed
28,Zakharov,2,True,1,3.3885,0.8556,1300,stochastic
29,Zakharov,10,True,1,3.5734,0.7329,2100,stochastic
30,Zakharov,100,True,1,2.1811,0.8672,1300,stochastic
31,Zakharov,1000,True,1,2.706,0.3467,1000,stochastic
32,Rosenbrock,2,True,1,2.1801,1.4115,1000,decaying
33,Rosenbrock,10,True,1,2.0726,1.9047,1700,decaying
34,Rosenbrock,100,True,1,2.6544,1.4534,1300,decaying
35,,,,,,,,
36,Rosenbrock,2,True,1,0.7273,1.3592,1100,uniform
37,Rosenbrock,10,True,1,3.5667,1.8683,800,uniform
38,Rosenbrock,100,True,1,0.6495,1.1321,2400,uniform
39,,,,,,,,
